Run ID,1021,,,,,,,,,,,,,,,,,,,
Run Date/Time,18/07/2014 08:52,,,,,,,,,,,,,,,,,,,
Application Name,Labcyte Echo Dose-Response,,,,,,,,,,,,,,,,,,,
Application Version,1.5.4,,,,,,,,,,,,,,,,,,,
Protocol Name,18.07.14_BRD4 and BRD9 IC50 _10mM Stock_50uM FAC top_100nl transfer_0.5% DMSO_ 4 daughters_1in2.edr,,,,,,,,,,,,,,,,,,,
User Name,ACCESS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],Customer Plate,384LDV_DMSO,N1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N18,1.25E-06,M,BDG00020684a,Sample 14,2.5,2.5,8.411,82.598,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,N1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M18,1.25E-06,M,BDG00020684a,Sample 14,2.5,2.5,8.408,82.598,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,N1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M17,3.75E-06,M,BDG00020684a,Sample 14,7.5,7.5,8.401,82.598,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,N1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N17,3.75E-06,M,BDG00020684a,Sample 14,7.5,7.5,8.393,82.598,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,N1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N16,6.25E-06,M,BDG00020684a,Sample 14,12.5,12.5,8.381,82.598,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,N1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M16,6.25E-06,M,BDG00020684a,Sample 14,12.5,12.5,8.368,82.598,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,N1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M15,1.25E-05,M,BDG00020684a,Sample 14,25,25,8.343,82.598,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,N1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N15,1.25E-05,M,BDG00020684a,Sample 14,25,25,8.318,82.598,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,N1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N14,2.50E-05,M,BDG00020684a,Sample 14,50,50,8.268,82.598,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,N1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M14,2.50E-05,M,BDG00020684a,Sample 14,50,50,8.218,82.598,Percent,DMSO,
