Run ID,1215
Run Date/Time,2014-10-21 10:17:59
Application Name,Labcyte Echo Dose-Response
Application Version,1.5.4
Protocol Name,21.10.2014_Novartis_CECR_FALZ_IC50_10mM Stock_5uM FAC 10nltransfer 1in2 .edr
User Name,ACCESS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],3333486778,384LDV_DMSO,A3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H13,5E-06,M,BDV00005299a,Sample 33,10,10,5.234,84.609,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H14,2.5E-06,M,BDV00005299a,Sample 33,5,5,5.229,84.609,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,G14,2.5E-06,M,BDV00005299a,Sample 33,5,5,5.224,84.609,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,G15,1.25E-06,M,BDV00005299a,Sample 33,2.5,2.5,5.221,84.609,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H15,1.25E-06,M,BDV00005299a,Sample 33,2.5,2.5,5.219,84.609,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O3,1.25E-06,M,BDV00005308a,Sample 37,2.5,2.5,4.956,86.477,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P3,1.25E-06,M,BDV00005308a,Sample 37,2.5,2.5,4.953,86.477,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P2,2.5E-06,M,BDV00005308a,Sample 37,5,5,4.948,86.477,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O2,2.5E-06,M,BDV00005308a,Sample 37,5,5,4.943,86.477,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,O1,5E-06,M,BDV00005308a,Sample 37,10,10,4.933,86.477,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E3,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,P1,5E-06,M,BDV00005308a,Sample 37,10,10,4.923,86.477,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-02,,Proxiplate_384PS,C1,5E-06,M,BDV00005302a,Sample 7,10,10,5.196,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-02,,Proxiplate_384PS,D1,5E-06,M,BDV00005302a,Sample 7,10,10,5.186,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-02,,Proxiplate_384PS,D2,2.5E-06,M,BDV00005302a,Sample 7,5,5,5.181,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-02,,Proxiplate_384PS,C2,2.5E-06,M,BDV00005302a,Sample 7,5,5,5.176,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-02,,Proxiplate_384PS,C3,1.25E-06,M,BDV00005302a,Sample 7,2.5,2.5,5.173,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-02,,Proxiplate_384PS,D3,1.25E-06,M,BDV00005302a,Sample 7,2.5,2.5,5.171,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-02,,Proxiplate_384PS,G3,1.25E-06,M,BDV00005304a,Sample 5,2.5,2.5,4.897,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-02,,Proxiplate_384PS,H3,1.25E-06,M,BDV00005304a,Sample 5,2.5,2.5,4.895,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-02,,Proxiplate_384PS,H2,2.5E-06,M,BDV00005304a,Sample 5,5,5,4.89,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-02,,Proxiplate_384PS,G2,2.5E-06,M,BDV00005304a,Sample 5,5,5,4.885,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-02,,Proxiplate_384PS,G1,5E-06,M,BDV00005304a,Sample 5,10,10,4.875,85.442,Percent,DMSO,
